Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FGp,3P,3PA,threePp,2P,2PA,twoPp,eFG%,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeMar DeRozan,87,"$27,739,975",SF,30,SAS,61,61,34.3,8.2,15.7,.526,0.1,0.5,.267,8.1,15.2,.535,.530,5.5,6.6,.843,0.6,5.0,5.6,5.6,1.0,0.2,2.4,2.7,22.2
CJ McCollum,87,"$27,556,959",SG,28,POR,62,62,36.0,8.9,19.5,.453,2.8,7.4,.380,6.0,12.2,.497,.525,2.0,2.6,.750,0.7,3.4,4.1,4.3,0.7,0.6,1.9,2.6,22.5
Victor Oladipo,87,"$21,000,000",SG,27,IND,13,10,25.9,4.8,12.4,.391,1.6,5.3,.304,3.2,7.1,.457,.457,2.5,3.2,.780,0.5,2.6,3.2,3.0,0.8,0.2,2.2,1.6,13.8
D'Angelo Russell,87,"$27,285,000",PG,23,MIN,45,45,32.3,8.0,18.8,.426,3.5,9.6,.367,4.5,9.2,.487,.519,3.6,4.4,.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1
Pascal Siakam,87,"$2,351,838",PF,25,TOR,53,53,35.5,8.7,18.9,.459,2.2,6.0,.359,6.5,12.8,.506,.517,4.2,5.2,.800,1.1,6.5,7.5,3.6,1.0,0.9,2.5,2.8,23.6
Ben Simmons,87,"$8,113,929",PG,23,PHI,54,54,35.7,6.7,11.4,.585,0.0,0.1,.333,6.6,11.3,.588,.587,3.3,5.3,.627,2.0,5.8,7.8,8.2,2.1,0.6,3.6,3.2,16.7
De'Aaron Fox,86,"$6,392,760",PG,22,SAC,45,43,31.7,7.3,15.4,.475,1.0,3.4,.307,6.3,12.0,.523,.509,4.8,6.8,.703,0.7,3.4,4.0,6.8,1.4,0.5,3.1,2.9,20.4
Devin Booker,86,"$27,285,000",SG,23,PHO,62,62,36.1,8.8,18.0,.487,2.0,5.6,.360,6.7,12.4,.544,.543,6.5,7.1,.916,0.4,3.7,4.2,6.6,0.7,0.3,3.9,3.0,26.1
Andre Drummond,86,"$27,093,018",C,26,CLE,57,56,33.0,7.3,13.8,.533,0.1,0.6,.143,7.2,13.1,.551,.536,3.0,5.2,.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7
Draymond Green,86,"$18,539,130",PF,29,GSW,43,43,28.4,2.9,7.3,.389,0.8,3.0,.279,2.0,4.3,.465,.446,1.5,1.9,.759,0.5,5.7,6.2,6.2,1.4,0.8,2.3,2.6,8.0
Jrue Holiday,86,"$26,131,111",SG,29,NOP,55,55,34.9,7.7,16.9,.452,2.1,5.9,.357,5.6,11.1,.502,.514,2.2,3.1,.700,1.3,3.6,4.9,6.9,1.7,0.8,2.9,2.3,19.6
Jayson Tatum,85,"$7,830,000",PF,21,BOS,59,59,34.6,8.5,18.9,.448,2.8,7.1,.398,5.6,11.7,.479,.523,3.8,4.7,.806,1.0,6.1,7.1,2.9,1.4,0.9,2.2,2.1,23.6
Trae Young,85,"$6,273,000",PG,21,ATL,60,60,35.3,9.1,20.8,.437,3.4,9.5,.361,5.7,11.4,.501,.519,8.0,9.3,.860,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6
Eric Bledsoe,85,"$15,625,000",PG,30,MIL,56,56,27.2,5.7,11.8,.482,1.3,3.6,.348,4.4,8.2,.540,.535,2.8,3.4,.813,0.7,3.9,4.6,5.4,0.9,0.4,2.5,2.1,15.4
Clint Capela,85,"$16,896,552",C,25,HOU,39,39,32.8,6.3,9.9,.629,0.0,0.0,,6.3,9.9,.629,.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
Tobias Harris,85,"$32,742,000",PF,27,PHI,65,65,34.5,7.6,16.1,.472,1.8,5.0,.362,5.8,11.1,.521,.528,2.4,2.9,.806,0.8,5.9,6.8,3.2,0.8,0.5,1.5,2.3,19.4
Al Horford,85,"$28,000,000",C,33,PHI,60,57,30.8,4.8,10.9,.442,1.5,4.4,.337,3.3,6.5,.513,.510,0.9,1.2,.753,1.5,5.3,6.9,4.1,0.9,0.9,1.1,2.1,12.0
Zach LaVine,85,"$19,500,000",SG,24,CHI,60,60,34.8,9.0,20.0,.450,3.1,8.1,.380,5.9,11.9,.497,.526,4.5,5.6,.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5
Kyle Lowry,85,"$33,296,296",PG,33,TOR,52,52,36.6,5.9,14.3,.417,2.9,8.3,.354,3.0,5.9,.505,.520,4.9,5.7,.861,0.6,4.3,4.8,7.7,1.3,0.4,3.0,3.2,19.7
Khris Middleton,85,"$30,603,448",SF,28,MIL,55,52,30.1,7.7,15.5,.499,2.4,5.8,.418,5.3,9.7,.547,.577,3.2,3.6,.908,0.7,5.5,6.2,4.1,0.9,0.1,2.1,2.2,21.1
